Day,Temp,Description
Tonight,29F,"Clear, with a low around 29. Wind chill values as low as 20. Northwest wind 13 to 18 mph."
Thursday,53F,"Mostly sunny, with a high near 53. Northwest wind around 10 mph."
Thursday Night,36F,"Partly cloudy, with a low around 36. Southwest wind 1 to 8 mph."
Friday,56F,"A chance of rain after 8am. Mostly cloudy. High near 56, with temperatures falling to around 54 in the afternoon. South wind 2 to 10 mph. Chance of precipitation is 30%."
Friday Night,40F,"A chance of rain. Cloudy. Low around 40, with temperatures rising to around 44 overnight. Southwest wind 10 to 14 mph. Chance of precipitation is 40%."
Saturday,51F,"A chance of rain before 8am. Partly sunny. High near 51, with temperatures falling to around 49 in the afternoon. Chance of precipitation is 40%."
Saturday Night,28F,"Partly cloudy, with a low around 28."
Sunday,41F,"Mostly sunny, with a high near 41."
Sunday Night,26F,"Mostly clear, with a low around 26."
Monday,48F,"Sunny, with a high near 48."
Monday Night,28F,"Partly cloudy, with a low around 28."
Tuesday,51F,"Mostly sunny, with a high near 51."
Tuesday Night,32F,"Partly cloudy, with a low around 32."
Wednesday,50F,"A slight chance of rain after 8am. Mostly sunny, with a high near 50."
